id,balls_per_over,team,team_1,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire_2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,Column1
1001349,6,Australia,Sri Lanka,male,2016/17,17-02-17,Sri Lanka in Australia T20I Series,1,Melbourne Cricket Ground,,Sri Lanka,field,DAS Gunaratne,MD Martell,P Wilson,MW Graham-Smith,SJ Nogajski,JJ Crowe,Sri Lanka,,5,2.1.0
1001351,6,Australia,Sri Lanka,male,2016/17,19-02-17,Sri Lanka in Australia T20I Series,2,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,DAS Gunaratne,SD Fry,SJ Nogajski,MW Graham-Smith,P Wilson,JJ Crowe,Sri Lanka,,2,2.1.0
1001353,6,Australia,Sri Lanka,male,2016/17,22-02-17,Sri Lanka in Australia T20I Series,3,Adelaide Oval,,Sri Lanka,field,A Zampa,MD Martell,P Wilson,MW Graham-Smith,SD Fry,JJ Crowe,Australia,41,,2.1.0
1004729,6,Ireland,Hong Kong,male,2016,05-09-16,Hong Kong in Ireland T20I Series,1,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,bat,,R Black,AJ Neill,AJT Dowdalls,,DT Jukes,Hong Kong,40,,2.1.0
1007655,6,Zimbabwe,India,male,2016,18-06-16,India in Zimbabwe T20I Series,1,Harare Sports Club,,India,field,E Chigumbura,TJ Matibiri,RB Tiffin,S Rwaziyeni,L Rusere,RB Richardson,Zimbabwe,2,,2.1.0
1007657,6,Zimbabwe,India,male,2016,20-06-16,India in Zimbabwe T20I Series,2,Harare Sports Club,,Zimbabwe,bat,BB Sran,L Rusere,RB Tiffin,O Chirombe,TJ Matibiri,RB Richardson,India,,10,2.1.0
1007659,6,Zimbabwe,India,male,2016,22-06-16,India in Zimbabwe T20I Series,3,Harare Sports Club,,Zimbabwe,field,KM Jadhav,TJ Matibiri,RB Tiffin,I Chabi,L Rusere,RB Richardson,India,3,,2.1.0
1019979,6,New Zealand,Bangladesh,male,2016/17,03-01-17,Bangladesh in New Zealand T20I Series,1,McLean Park,Napier,Bangladesh,bat,KS Williamson,SB Haig,WR Knights,AL Gillies,CM Brown,BC Broad,New Zealand,,6,2.1.0
1019981,6,New Zealand,Bangladesh,male,2016/17,06-01-17,Bangladesh in New Zealand T20I Series,2,Bay Oval,Mount Maunganui,Bangladesh,field,C Munro,CM Brown,SB Haig,AL Gillies,WR Knights,BC Broad,New Zealand,47,,2.1.0
1019983,6,New Zealand,Bangladesh,male,2016/17,08-01-17,Bangladesh in New Zealand T20I Series,3,Bay Oval,Mount Maunganui,Bangladesh,field,CJ Anderson,CM Brown,WR Knights,AL Gillies,SB Haig,BC Broad,New Zealand,27,,2.1.0
